City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
130,Tamala,47,RU,1563498089,85,52.54,43.26,57.65,5.1
131,Omsukchan,100,RU,1563498089,77,62.53,155.8,57.83,5.08
132,Coquimbo,0,CL,1563498089,87,-29.95,-71.34,53.6,5.82
133,Honggang,39,CN,1563498089,93,29.51,114.87,79.07,2.55
134,Constitucion,90,MX,1563498089,52,23.99,-104.67,68,12.75
135,Leningradskiy,84,RU,1563498090,84,69.38,178.42,35.33,15.77
136,Bambous Virieux,75,MU,1563498090,69,-20.34,57.76,73.4,16.11
137,Taltal,3,CL,1563498090,80,-25.41,-70.49,52.43,4.27
138,Krasnovishersk,97,RU,1563498090,95,60.4,57.08,48.65,0.72
139,Mehran,0,IR,1563498090,22,33.12,46.17,77,6.93
140,Ilulissat,100,GL,1563498091,93,69.22,-51.1,44.6,2.24
141,Mount Gambier,0,AU,1563497846,93,-37.83,140.78,48.2,4.7
142,Kautokeino,3,NO,1563498091,89,69.01,23.04,44.69,5.01
143,Bereda,90,ES,1563498091,93,43.27,-7.54,66,1.12
144,Dicabisagan,100,PH,1563498091,76,17.08,122.42,80.87,1.5
145,Nhulunbuy,40,AU,1563498092,69,-12.18,136.78,77,17.22
146,Alice Springs,0,AU,1563498092,29,-23.7,133.88,62.6,10.29
147,San Policarpo,100,PH,1563498092,81,12.18,125.51,81.95,6.78
148,Chokurdakh,100,RU,1563498092,74,70.62,147.9,41.27,8.68
149,Lavrentiya,99,RU,1563498092,80,65.58,-170.99,54.41,5.59
150,Quang Ngai,99,VN,1563498080,80,15.12,108.8,78.17,2.26
151,Castro,90,CL,1563498093,87,-42.48,-73.76,48.2,17.22
152,Taunggyi,90,MM,1563497887,95,20.78,97.03,70.07,3.31
153,Goderich,83,CA,1563498093,77,43.74,-81.71,80.01,20.02
154,Souillac,40,FR,1563498093,88,45.6,-0.6,64.99,3.36
155,Hualmay,29,PE,1563498094,85,-11.1,-77.61,61.25,17.85
156,Zig,1,US,1563498094,70,40.13,-92.77,91.4,14.99
157,Mao,20,DO,1563498094,69,19.55,-71.08,84.2,16.11
158,Avera,1,US,1563498094,78,33.19,-82.53,82.99,8.05
159,Farrukhnagar,40,IN,1563498094,88,28.45,76.82,84.99,3.36
160,Vila Franca do Campo,75,PT,1563498095,88,37.72,-25.43,69.8,8.05
161,Fuling,94,CN,1563498095,94,29.71,107.39,76.37,0.36
162,Port Lincoln,0,AU,1563498095,86,-34.72,135.86,55.31,16.42
163,Talnakh,0,RU,1563498095,42,69.49,88.39,66.2,22.37
164,Port Hardy,90,CA,1563498095,93,50.7,-127.42,53.6,3.36
165,Ahipara,100,NZ,1563498096,100,-35.17,173.16,60.01,16.4
166,Yar-Sale,76,RU,1563498096,70,66.83,70.83,65.57,8.14
167,Dudingen,92,CH,1563498096,77,46.85,7.19,66.99,2.24
168,Gloversville,40,US,1563497824,100,43.05,-74.34,75.99,5.82
169,Nanortalik,59,GL,1563498096,91,60.14,-45.24,41.63,1.66
170,Port Elizabeth,40,US,1563498097,88,39.31,-74.98,82.4,2.55
171,Kalaleh,0,IR,1563498097,78,37.38,55.49,80.6,6.4
172,Coihaique,90,CL,1563498005,100,-45.58,-72.07,35.6,9.17
173,Manado,20,ID,1563498097,58,1.49,124.85,86,2.24
174,Puerto Escondido,40,MX,1563497905,70,15.86,-97.07,84.2,5.19
175,Popova,0,RS,1563498097,72,43.33,21.27,62.6,5.82
176,Qaqortoq,75,GL,1563498098,71,60.72,-46.03,53.6,14.99
177,Yelizovo,20,RU,1563498098,50,53.19,158.38,77,13.42
178,Cherskiy,58,RU,1563498098,54,68.75,161.3,45.41,16.82
179,Ponta do Sol,76,BR,1563498098,75,-20.63,-46,57.65,5.82
180,Gushikawa,90,JP,1563498098,88,26.35,127.87,84.2,20.8
181,Schattdorf,97,CH,1563498099,68,46.86,8.65,66.2,1.12
182,Okhotsk,100,RU,1563498099,94,59.36,143.24,56.03,10.56
183,Qaanaaq,99,GL,1563498099,80,77.48,-69.36,41.81,3.74
184,Luderitz,0,NA,1563498099,93,-26.65,15.16,51.8,8.05
185,Kavieng,27,PG,1563497862,72,-2.57,150.8,83.93,11.65
186,Provideniya,90,RU,1563498100,72,64.42,-173.23,59,11.18
187,Atar,0,MR,1563498100,12,20.52,-13.05,96.17,19.42
188,Tutoia,1,BR,1563498100,91,-2.76,-42.27,73.49,1.81
189,Portland,1,US,1563498022,82,43.66,-70.25,68,5.59
190,Basavana Bagevadi,98,IN,1563498100,85,16.57,75.97,74.39,11.9
191,Hasaki,75,JP,1563498101,88,35.73,140.83,81,6.93
192,Lodja,0,CD,1563498101,42,-3.52,23.6,70.79,1.52
193,Abu Kamal,0,SY,1563498101,45,34.45,40.92,76.55,14.74
194,Pokosnoye,0,RU,1563498101,59,55.53,101.05,68.09,0.51
195,Bud,75,NO,1563498101,93,62.91,6.91,57.99,5.82
196,Vestmanna,64,FO,1563498102,100,62.16,-7.17,51.8,10.29
197,Parana,0,BR,1563498102,88,-7.52,-72.89,77,1.68
198,Arman,100,RU,1563498102,96,59.7,150.17,52.97,2.44
199,Berlevag,54,NO,1563498102,77,70.86,29.09,50.09,13.13
200,Puerto Carreno,40,CO,1563498102,88,6.19,-67.49,78.8,3.36
201,North Bend,1,US,1563498103,68,43.41,-124.22,66.99,19.46
202,Pangody,57,RU,1563498103,62,65.85,74.49,74.57,12.15
203,Inirida,69,CO,1563498103,92,3.87,-67.92,74.57,1.19
204,Saint-Denis,90,FR,1563498103,93,48.94,2.36,66.2,3.36
205,Lebu,75,ET,1563498103,93,8.96,38.73,55.4,2.24
206,Ribeira Grande,0,PT,1563498104,88,38.52,-28.7,72.95,12.01
207,Lakes Entrance,29,AU,1563498104,70,-37.88,147.99,55.99,13.96
208,Lompoc,75,US,1563497866,82,34.64,-120.46,73.99,6.93
209,Atuona,2,PF,1563498104,70,-9.8,-139.03,79.97,7.58
210,Jalu,0,LY,1563498104,61,29.03,21.55,76.37,9.44
211,Perth,90,AU,1563498099,100,-31.95,115.86,57.99,10.29
212,Severo-Kurilsk,14,RU,1563497903,94,50.68,156.12,47.57,1.45
213,Kushiro,75,JP,1563498105,100,43.11,144.15,62.6,16.11
214,Pevek,100,RU,1563498105,93,69.7,170.27,32.81,4.74
215,Pathein,4,MM,1563498105,92,16.78,94.73,78.71,2.73
216,Ciudad Bolivar,38,VE,1563498106,72,8.12,-63.55,81.05,3.42
217,Richards Bay,0,ZA,1563498106,41,-28.77,32.06,70.25,12.3
218,Juquia,60,BR,1563498106,99,-24.32,-47.63,58.19,1.54
219,Malgrat de Mar,0,ES,1563498106,88,41.65,2.74,77,3.13
220,Yasothon,99,TH,1563498106,78,15.8,104.15,82.4,9.17
221,Jiwani,65,PK,1563498107,78,25.05,61.74,81.41,6.06
222,Cap Malheureux,75,MU,1563498107,69,-19.98,57.61,73.4,16.11
223,Shu,0,KZ,1563498107,16,43.6,73.76,76.19,8.77
224,Loa Janan,79,ID,1563498107,84,-0.58,117.09,77.81,1.12
225,Salinas,75,US,1563497820,68,36.67,-121.66,81,13.87
226,Aloleng,100,PH,1563498108,78,16.13,119.78,84.47,18.68
227,Gayny,65,RU,1563498108,98,60.3,54.33,44.69,2.06
228,Sungaipenuh,100,ID,1563498108,88,-2.08,101.38,70.07,2.26
229,Pacifica,90,US,1563498108,93,37.61,-122.49,71.6,6.93
230,Santa Cecilia,0,CR,1563498109,73,9.85,-84.31,73.4,5.82
231,Longyearbyen,75,NO,1563498109,80,78.22,15.63,41,20.8
232,Kuandian,0,CN,1563498109,80,40.73,124.78,73.49,1.48
233,Clyde River,90,CA,1563498109,100,70.47,-68.59,41,8.05
234,Namibe,0,AO,1563498109,81,-15.19,12.15,69.35,2.59
235,Caravelas,18,BR,1563497906,62,-17.73,-39.27,70.97,13.53
236,Izhma,100,RU,1563498110,95,65.01,53.91,45.05,9.37
237,Canavieiras,18,BR,1563498110,79,-15.68,-38.95,65.93,7.63
238,Windhoek,0,NA,1563498110,20,-22.57,17.08,53.6,4.7
239,Florence,90,US,1563498110,94,34.8,-87.68,87.01,4.7
240,Chivilcoy,100,AR,1563498021,76,-34.9,-60.02,51.89,6.35
241,Norman Wells,40,CA,1563498111,34,65.28,-126.83,78.8,12.75
242,Tacoronte,90,ES,1563498111,87,28.48,-16.41,73.4,21.92
243,Torrington,1,US,1563498111,12,42.06,-104.18,98.6,14.99
244,Airai,37,TL,1563498111,56,-8.93,125.41,76.73,0.47
245,Bubaque,100,GW,1563498112,85,11.28,-15.83,78.71,16.17
246,Trincomalee,93,LK,1563498112,74,8.58,81.23,79.43,11.18
247,Wildomar,1,US,1563498112,54,33.59,-117.24,90,19.46
248,Beira,90,ES,1563498112,93,43.2,-8.36,66.99,1.12
249,Poum,49,MK,1563497866,85,41.28,20.71,53.51,1.34
250,Firminy,0,FR,1563498017,82,45.39,4.29,66.2,3.36
251,Sistranda,40,NO,1563498113,87,63.73,8.83,60.01,4.7
252,Guerrero Negro,0,MX,1563497885,87,27.97,-114.04,66.83,14.9
253,Carahue,0,CL,1563498113,100,-38.71,-73.16,41,16.87
254,Rudnichnyy,19,RU,1563498113,95,59.7,60.29,49.19,3.56
255,Huilong,99,CN,1563498113,91,31.15,106.5,77.45,1.45
